Name,Address,Amount,TxHash
yi,0xffcdc69320928d609f656a335a1598592f039592,50,0x3e150e3ef4a8abf4ae1626f611ccb655854ca43cd81cf84de3394cc1c9a37aa9
test1,0xdDD93e4221A3e07A1Dc799C1Fa286297298DAc94,10,0x15851b7427a63d8de6598963b97f660a438434bd969aeb8aa253596dec62cff2
test2,0xAA1117BA9051caB3974ff0694946F92C9D44820a,20,0x431af38ef08631aabc0cb50e3882b15ebd90bdcb84365f44327bcc2f5948afca
